reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language,content_english,sentiment,topics,vehicle_type,user_experience,usage_profile,is_pain_point,is_feature_request,competitor_mentioned
9a577b1f-ae9b-496c-8b49-c1ba195da4ec,Mohamed Said Zemmouchi,https://play-lh.googleusercontent.com/a-/ALV-UjXDR9PHbGOQ8FQgMdPLQ9P0SxPz1lexPT_jNJE_X2jOR_94oX84RQ,Très bonne application je recommande !!,5,0,1.6.2,2021-10-07 18:37:54,,,1.6.2,French,"""Very good app, I recommend!!""",positive,other,unclear,unclear,casual_user,no,no,none
c130b9f9-a5ee-4b38-8eb4-9ec084bee060,DETON Cédric,https://play-lh.googleusercontent.com/a/ACg8ocIVMqIuzsGFD2hhl0MQxdYIa3aDnvxf5TrkQ3attb9gBJCAPg=mo,Bug en permanence !,1,0,1.6.2,2021-10-06 15:43:41,,,1.6.2,French,"""Permanent bugs!""",negative,"performance, updates",unclear,unclear,unclear,yes,no,none
055d7bcb-71a3-41c3-8669-963758873a29,charbonnier appro,https://play-lh.googleusercontent.com/a/ACg8ocLQrgHFzFpmKjXPjWzz5BaQjkQKrO3HAMjFeCt8fOa2_W6qCA=mo,Très bonne application,5,0,1.6.2,2021-10-05 20:33:09,,,1.6.2,French,Very good application,positive,other,unclear,unclear,unclear,no,no,none
ee22626a-99aa-4223-892c-37b1814c4299,Olivier et Joëlle Pierard,https://play-lh.googleusercontent.com/a-/ALV-UjWKGISunCVIy-ZU4bPcvkK12SWmfhmrqgCtrwGRW8P3Ch-d8t8o,Excellente application : l'essentiel au creux de la main 😉,5,0,1.6.2,2021-10-05 09:14:33,,,1.6.2,French,Excellent app: the essentials at your fingertips 😉,positive,ui/ux,unclear,unclear,casual_user,no,no,none
79854256-d78b-4cb6-83aa-ed764a66943e,Michaël BAYET,https://play-lh.googleusercontent.com/a-/ALV-UjVJX5hl3Znof9apPBSG2PIHC-WhvY0Vxa0w0DG_7BrubAqpG6m0,Bien foutu cette dernière version !,5,0,1.6.2,2021-10-04 21:14:00,,,1.6.2,French,"""Well done this latest version!""",positive,updates,unclear,unclear,unclear,no,no,none
b7cc5a07-38b2-4e65-a29f-4c0d2291548f,Vincenzo Caruana,https://play-lh.googleusercontent.com/a/ACg8ocLhkAbojm_PlyvVOSlL9RhNCSj3YW5oyqeq69kZZR0fNMrGoQ=mo,toutes les données sont exacte application à recommander,5,0,1.6.2,2021-10-04 14:30:34,"Bonjour Vincenzo! Merci pour votre retour positif! Nous sommes heureux d'apprendre que vous aimez l'application My BMW! - My BMW App Support Team
",2021-10-13 15:40:43,1.6.2,French,"""All data is accurate, highly recommended app.""",positive,vehicle status,unclear,unclear,casual_user,no,no,none
870211c1-0140-4bb6-ac6a-60edb5964fda,Braem Pierre,https://play-lh.googleusercontent.com/a-/ALV-UjX7q7BPyPnM66iJirpkxZucUgnqBjPW_E9l0rFrQberAf0rsCOW,info en temps réelle et long peut lancé des fonctionnalités à distance,5,0,1.6.2,2021-10-04 03:32:33,,,1.6.2,French,"""Real-time info and long delays launching remote functionalities.""",negative,"performance, remote controls",unclear,experienced_user,power_user,yes,yes,none
d1fcd55c-d3d8-4836-b16c-3ed75aaf7040,Kam Mez,https://play-lh.googleusercontent.com/a/ACg8ocJ4gg5YyVN5FFQ5WV7dXFz7hozXCdLpoxeLEnp3VzLyi6U0sw=mo,top,5,0,1.6.2,2021-10-02 17:17:53,,,1.6.2,French,"""top""",positive,other,unclear,unclear,unclear,no,no,none
faa60c1b-1447-442b-affd-fa2049683f5f,Jose,https://play-lh.googleusercontent.com/a/ACg8ocKXcsmramdT7cLCu1QQtD2plCxbHU-jVw-b3TN4PO4iFkx5DQ=mo,utile et agréable,5,0,1.6.2,2021-10-01 19:49:27,,,1.6.2,French,useful and pleasant,positive,ui/ux,unclear,unclear,casual_user,no,no,none
c22a3b75-a059-4132-ab1e-4a7bffca925f,rcmodelcar 78,https://play-lh.googleusercontent.com/a/ACg8ocKup770ba3eU7mFMeDkylSJAVDRN6z0sKAyhblGJuc51iupGA=mo,Très pratique,5,0,1.6.2,2021-10-01 17:19:22,,,1.6.2,French,Very practical.,positive,other,unclear,unclear,unclear,no,no,none
0b6b6cd8-f8f5-4a3c-8fe1-637cd0014f45,Nicolas Nicolas,https://play-lh.googleusercontent.com/a/ACg8ocICDA32YYA0LknHr5h4ys1sazO_LSR8vafrPOhcCBxLo86rxQ=mo,au top,5,0,1.6.2,2021-09-29 09:24:45,,,1.6.2,French,Top-notch.,positive,other,unclear,unclear,unclear,no,no,none
47c93d79-6f73-4fd8-ae79-d5be3c2be985,Nicolas Nardo,https://play-lh.googleusercontent.com/a-/ALV-UjU9v2PAKjnIWETuvakP4epWFDqCK5NJXv7tmIWGVUBtxrB2Go1y,"Depuis le passage de BMW connect à M'y BMW je constate que cette nouvelle application est bien moins intéressante que la précédente. La présentation est déjà moins agréable, les temps de rafraîchissement sont plus élevés et il me semble que l'on a perdu quelques fonctionnalités ( par exemple je ne vois plus l'information concernant la charge en cours avec notamment l'heure à laquelle il est prévu qu'elle soit complète).",3,65,1.6.0,2021-09-26 21:33:56,,,1.6.0,French,"Since the transition from BMW Connect to MyBMW App, I’ve noticed that this new application is much less interesting than the previous one. The presentation is already less pleasant, the refresh times are higher, and it seems that some functionalities have been lost (for example, I no longer see the information regarding the ongoing charge, including the time at which it is expected to be complete).",negative,"ui/ux, performance, vehicle status, charging management, bmw connected ecosystem",ev_hybrid,experienced_user,power_user,yes,yes,none
c7561250-9903-404c-96f7-7e742e93fc67,Christian Pucin,https://play-lh.googleusercontent.com/a/ACg8ocJCHS75jvaHn4iLPALpPozrAkoa4FTIQcoiRs4j7gLumViXTA=mo,Bonne application pour localiser et gérer la voiture.,4,0,1.6.0,2021-09-26 15:59:35,,,1.6.0,French,"""Good app for locating and managing the car.""",positive,"vehicle status, my garage/vehicle management",unclear,unclear,casual_user,no,no,none
