reviewId,content,language,english_content
2fedb549-9cde-44a9-b375-87b37f2d5b82,"Die App kann schon viel, aber warum lassen sich die Scheiben oder das Schiebedach nicht über die App öffnen bzw. schließen. An die Entwickler, bitte nachbessern.",German,"The app can already do a lot, but why can't the windows or the sunroof be opened or closed via the app? To the developers, please improve this."
8a75a904-1911-4d9d-97e1-506a1e915d0d,Leider genauso enttäuscht wie viele hier über die App. Ich kann weder den Status über meinen 7-er sehen noch sonst die App richtig nutzen. Leider hat mir die BMW Schweiz Hotline auch ned wirklich weiterhelfen können. Eigentlich sehr schade.....,German,"Unfortunately, just as disappointed as many here about the app. I can’t see the status of my 7-series, nor can I really use the app otherwise. Unfortunately, the BMW Switzerland hotline couldn't really help me either. Actually a real shame...."
c5769f22-9263-4c2a-8b5d-bc3f4d11f8f5,"Top App, verständlich, übersichtlich und funktional.",German,"Top App, understandable, clear, and functional."
2109c493-b655-4884-aa80-a4a83931be39,An sich eine informative App. Leider bleibt sie oft hängen. Die fehlende Stabilität nervt.,German,"An informative app in itself. Unfortunately, it often freezes. The lack of stability is annoying."
b3d056ec-ee43-4725-b8b5-52d7f2cb3170,Super App. Alles über Handy abrufbar. Vom Tanken bis hin zur HU. Sehr Empfehlenswert. Dafür gibt es auch 5 Sterne 🌟 🌟 🌟 🌟 🌟,German,Super App. Everything retrievable via mobile phone. From refueling to the vehicle inspection (HU). Highly recommended. That’s why it gets 5 stars 🌟 🌟 🌟 🌟 🌟
029ab730-deba-4ec4-b5f8-ea85ad1feba5,Einfach eine sehr gute und hilfreiche App.,German,Simply a very good and helpful app.
51096bea-cc41-42b0-ae5b-704898dd51fc,Die komplizierteste App die es überhaupt gibt. Bis so ein Update bei dem Auto ankommt kriegt ne alte Frau n Kind. Selbst ein Stern ist noch zu viel,German,"The most complicated app there is, period. By the time an update like that arrives in the car, an elderly woman will have a child. Even one star is too much."
69467349-3d5c-4fe5-9702-24cd690589bb,App sehr schön aber alle Funktionen funktionieren nicht weil mein Auto zu alt ist 2014 es soll ein Update kommen aber wann ist die Frage. LG an BMW Update 30.11 noch schlechter,German,"App very nice but not all functions work because my car is too old, 2014. An update is supposed to come, but when is the question. Regards to BMW. Update 30.11 even worse."
3fbab055-ac78-40a4-b8f1-f5cb94c131a2,Alles wichtige ist schnell abrufbar,German,Everything important is quickly accessible.
d42b6c23-4aa9-46c9-a530-58677ecfb0a6,Funktioniert einwandfrei. Bin bis jetzt voll und ganz zufrieden.,German,Works flawlessly. I’m completely satisfied so far.
154bf616-1c99-49fd-a6c7-3acf4d55fda2,"Schrott, man kann sich gar nicht mehr anmelden. Sobald man auf das Feld für die Passworteingabe klickt, schmeißt es einen gleich komplett raus. Ein Stern ist auch zu viel 👎",German,"Junk, you can't even log in anymore. As soon as you click on the password field, it completely kicks you out. One star is too much 👎"
fb1f933f-4535-4d8d-ba40-db4b84fb1b09,"Ist bei manchen Modellen, wie z.b. bei meinem 320ger g21 ohne teueres Abo (89 Euro im Jahr) unbrauchbar. Es ist keine einzige Funktion möglich. Schade.",German,"It's unusable on some models, like my 320 g21, without the expensive subscription (€89 per year). Not a single function is possible. Shame."
24a6f1a3-6704-42c5-882e-e04ed7635546,Die App lief 2 Tage auf meinem neuen Handy danach beim Öffnen verbindet sie sich ganz kurz mit meinem neuen bmw f39 und stürzt ab. War zu bmw Händler er meinte es läge an der App,German,"The app ran for 2 days on my new phone, then when opening it, it connects briefly to my new BMW F39 and crashes. I took it to a BMW dealer and he said it was due to the app."
4e3dcaaa-9921-4a90-b8b1-a4218699cf30,Es fehlen wichtige Infos zu meinen f11 lci über tankfüllstand und Kilometerstand. Auch ist die App und die Verbindung zum Fahrzeug sehr langsam. Hier erwarte uch mehr Performance.,German,"Important information regarding my F11 LCI is missing, specifically about fuel level and mileage. Also, the app and the connection to the vehicle are very slow. I expect more performance here."
f13a6b99-4e2e-49ba-b7ab-641754ee9c28,schade dass der Concierge Service eingestellt wurde. und bitte die Fahrzeugortung erweitern,German,“It’s a shame the Concierge Service was discontinued. And please expand the vehicle location feature.”
a762635f-4e9f-4b89-ac60-65e9237f8fad,Die App hat immer gut funktioniert. Seit dem letzten Update kann ich meine Fahrten nicht mehr ansehen.,German,"The app has always worked well. Since the last update, I can no longer view my journeys."
671fd3bd-fddf-4499-ab5e-d4ebc3ca0981,"Ständig die Neuanmeldung, die dann auch noch nicht Mal funktioniert. Dann wird man genötigt Chrome zu nutzen, was auch nicht funktioniert. Fragt man sich, was für Programmierer von BMW beschäftigt werden.",German,"Constant re-registration, which also doesn’t even work. Then you're forced to use Chrome, which also doesn’t work. You wonder what kind of programmers BMW employs."
b9afd30a-577b-4328-8321-a04245b8157f,Remote Parking fehlt obwohl Fahrzeug es unterstützt.,German,Remote Parking is missing even though the vehicle supports it.
a01b5772-f550-4033-a03d-065844c1962c,Es fehlen einfache Features die heute eigentlich Standart sind: -Kein Dark Mode! -Aktuell anliegender Ladestrom wird nicht angezeigt -Ladestrom kann nicht angepasst werden,German,Simple features that are standard these days are missing: -No Dark Mode! -Currently applicable charging current is not displayed -Charging current cannot be adjusted
3785a9ee-2a0c-4713-aca4-7b28180ce2a4,"Es geht seit Tagen mal wieder gar nichts..! App Anmeldung und wenn man es mal schafft ""drinnen"" zu sein funktioniert auch nicht alles...Standort Fahrzeug abrufen, Route ans Fahrzeug etc... Im Auto alles aktuviert, GPS usw..ärgerlich bei Fahrzeugen in der Preisklasse..",German,"Nothing has been working again for days..! App login and even when you manage to get in, not everything functions... Retrieving vehicle location, sending routes to the vehicle, etc... Everything activated in the car, GPS, etc. Annoying for vehicles in this price class.."
fdd5e7a3-5e85-488c-a1b6-a225dbc3b090,"Eine Anmeldung ist seit Tagen nicht mehr möglich. ""Es ist ein Fehler aufgetreten, später nochmals versuchen! 3020"". Email an Hotline wird nicht beantwortet!😟",German,"“Logging in hasn’t been possible for days. An error occurred, try again later! 3020. Email to the hotline isn't being answered! 😟"
a9d959cf-7bbb-4e68-8fec-44be4559d820,"Bin mit der App sehr zufrieden. Hat uns in einer brenzligen Situation geholfen. Und zwar, hatten wir den Fahrzeugschlüssel im Kofferraum liegen und die Heckklappe geschlossen. Dank der App, konnten wir das Auto über unseren Smartphone wieder öffnen. 👍",German,"I'm very happy with the app. It helped us in a tricky situation. We had left the car key in the trunk and the tailgate was closed. Thanks to the app, we were able to unlock the car again via our smartphone. 👍"
